Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom

Title,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,2025 JIF,JIF Rank
Revista de Cancioneros Impresos y Manuscritos,REV CANCION IMPR MAN,UNIV ALICANTE,2254-7444,2254-7444,MEDIEVAL & RENAISSANCE STUDIES,ESCI,0.3,N/A
STUDIES IN RELIGION-SCIENCES RELIGIEUSES,STUD RELIG-SCI RELIG,SAGE PUBLICATIONS LTD,0008-4298,2042-0587,RELIGION,AHCI,0.3,N/A
ZEITSCHRIFT FUR DIE ALTTESTAMENTLICHE WISSENSCHAFT,Z ALTTESTAMENT WISS,WALTER DE GRUYTER GMBH,0044-2526,1613-0103,RELIGION,AHCI,0.3,N/A
Ecumenica-Performance and Religion,ECUMENICA,PENN STATE UNIV PRESS,1942-4558,2578-2185,Multiple,ESCI,0.3,N/A
Fieldwork in Religion,FIELDWORK RELIG,EQUINOX PUBLISHING LTD,1743-0615,1743-0623,RELIGION,ESCI,0.3,N/A
Journal for the Study of the Pseudepigrapha,J STUDY PSEUDEPIGR,SAGE PUBLICATIONS LTD,0951-8207,1745-5286,RELIGION,ESCI,0.3,N/A
Tydskrif vir letterkunde,TYDSKR LETT,UNIV PRETORIA,0041-476X,N/A,LITERATURE,AHCI,0.3,N/A
Iran and the Caucasus,IRAN CAUCASUS,BRILL,1609-8498,1573-384X,HISTORY,AHCI,0.3,223/553
Monumenta Serica-Journal of Oriental Studies,MONUM SER-J ORIENT S,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0254-9948,2057-1690,ASIAN STUDIES,ESCI,0.3,N/A
RHETORICA-A JOURNAL OF THE HISTORY OF RHETORIC,RHETORICA,JOHNS HOPKINS UNIV PRESS,0734-8584,1533-8541,Multiple,AHCI,0.3,223/553
Sungkyun Journal of East Asian Studies,SUNGKYUN J EAST ASIA,"ACAD EAST ASIAN STUD, SUNGKYUNKWAN UNIVERSITY",1598-2661,N/A,ASIAN STUDIES,AHCI,0.3,N/A
PARERGON,PARERGON,AUSTRALIAN NZ ASSOC MEDIEVAL EARLY MODERN STUDIES,0313-6221,1832-8334,MEDIEVAL & RENAISSANCE STUDIES,AHCI,0.3,N/A
Political Theology,POLITICAL THEOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1462-317X,1743-1719,RELIGION,ESCI,0.3,N/A
Enrahonar-Quaderns de Filosofia,ENRAHONAR,UNIV AUTONOMA BARCELONA,0211-402X,2014-881X,PHILOSOPHY,ESCI,0.3,N/A
Ibsen Studies,IBSEN STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1502-1866,1741-8720,THEATER,ESCI,0.3,N/A
International Journal of Korean History,INT J KOREAN HIST,"KOREA UNIV, CENTER KOREAN HISTORY",1598-2041,2508-5921,HISTORY,ESCI,0.3,223/553
Zeitschrift fur Assyriologie und Vorderasiatische Archaologie,Z ASSYRIOL VORDERASI,WALTER DE GRUYTER GMBH,0084-5299,1613-1150,Multiple,AHCI,0.3,N/A
FORUM FOR MODERN LANGUAGE STUDIES,FORUM MOD LANG STUD,OXFORD UNIV PRESS,0015-8518,1471-6860,Multiple,AHCI,0.3,N/A
JOURNAL OF ARABIC LITERATURE,J ARABIC LIT,BRILL,0085-2376,1570-064X,Multiple,AHCI,0.3,N/A
KOREA JOURNAL,KOREA J,ACAD KOREAN STUDIES,N/A,2733-9343,ASIAN STUDIES,AHCI,0.3,N/A
Palaeontographica Abteilung B-Palaeophytologie Palaeobotany-Palaeophytology,PALAEONTOGR ABT B,E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG,2194-900X,2509-839X,PALEONTOLOGY,SCIE,0.3,58/58
Ben Jonson Journal,BEN JONSON J,EDINBURGH UNIV PRESS,1079-3453,1755-165X,"LITERATURE, BRITISH ISLES",AHCI,0.3,N/A
HISTOIRE SOCIALE-SOCIAL HISTORY,HIST SOC/SOC HIST,HISTOIRE SOCIALE DEPT HISTORY,0018-2257,0018-2257,HISTORY,AHCI,0.3,223/553
International Organizations Law Review,INT ORGAN LAW REV,BRILL,1572-3739,1572-3747,LAW,ESCI,0.3,315/443
JOURNAL OF RELIGIOUS HISTORY,J RELIG HIST,WILEY,0022-4227,1467-9809,Multiple,AHCI,0.3,223/553
Rusin,RUSIN,ASSOC RUS,1857-2685,2345-1149,HISTORY,ESCI,0.3,223/553
Arabica,ARABICA,BRILL,0570-5398,1570-0585,Multiple,AHCI,0.3,223/553
Journal of Chinese Military History,J CHINESE MIL HIST,BRILL,2212-7445,2212-7453,Multiple,ESCI,0.3,N/A
Tang Studies,TANG STUD,JOHNS HOPKINS UNIV PRESS,0737-5034,1759-7633,ASIAN STUDIES,ESCI,0.3,N/A
Wroclawski Rocznik Historii Mowionej,WROC ROCZ HIST MOW,Osrodek Pamiec & Przyszlosc,2084-0578,2719-7522,HISTORY,ESCI,0.3,223/553
Istoriya-Elektronnyi Nauchno-Obrazovatelnyi Zhurnal,ISTORIYA-ELEKTRON,STATE ACAD UNIV HUMANITIES,2079-8784,2079-8784,HISTORY,ESCI,0.3,223/553
Immigrants and Minorities,IMMIGR MINOR,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0261-9288,1744-0521,Multiple,ESCI,0.3,46/51
International Journal of Applied Psychoanalytic Studies,INT J APPL PSYCH STU,WILEY,1742-3341,1556-9187,"PSYCHOLOGY, PSYCHOANALYSIS",ESCI,0.3,16/24
Journal of the Gilded Age and Progressive Era,J GILDED AGE PROGR E,CAMBRIDGE UNIV PRESS,1537-7814,1943-3557,HISTORY,"AHCI, SSCI",0.3,223/553
Revista Brasileira de Historia,REV BRAS HIST,ASSOC NAC HISTORIA-ANPUH,0102-0188,N/A,HISTORY,AHCI,0.3,223/553
CALIFORNIA HISTORY,CALIF HIST,CALIFORNIA HISTORICAL SOC,0162-2897,2327-1485,HISTORY,AHCI,0.3,223/553
JOURNAL OF CANADIAN STUDIES-REVUE D ETUDES CANADIENNES,J CAN STUD,UNIV TORONTO PRESS INC,0021-9495,1911-0251,"HUMANITIES, MULTIDISCIPLINARY",AHCI,0.3,N/A
Midwest Studies in Philosophy,MIDWEST STUD PHILOS,PHILOSOPHY DOCUMENTATION CENTER,0363-6550,1475-4975,PHILOSOPHY,AHCI,0.3,N/A
Craft Research,CRAFT RES,INTELLECT LTD,2040-4689,2040-4697,ART,ESCI,0.3,N/A
Journal of Scandinavian Cinema,J SCAND CINE,INTELLECT LTD,2042-7891,2042-7905,"FILM, RADIO, TELEVISION",ESCI,0.3,N/A
SIXTEENTH CENTURY JOURNAL,SIXTEENTH CENT J,UNIV CHICAGO PRESS,0361-0160,2326-0726,HISTORY,AHCI,0.3,223/553
Exchange-Journal of Contemporary Christianities in Context,EXCHANGE-LEIDEN,BRILL,0166-2740,1572-543X,RELIGION,AHCI,0.3,N/A
International Bulletin of Mission Research,INT BULL MISSION RES,SAGE PUBLICATIONS INC,2396-9393,2396-9407,RELIGION,ESCI,0.3,N/A
JOURNAL OF INDIAN PHILOSOPHY,J INDIAN PHILOS,SPRINGER,0022-1791,1573-0395,Multiple,AHCI,0.3,N/A
Korean Studies,KOREAN STUD,UNIV HAWAII PRESS,0145-840X,1529-1529,ASIAN STUDIES,ESCI,0.3,N/A
Occasional Papers on Religion in Eastern Europe,OCCAS PAP RELIG E EU,CHRISTIANS ASSOC RELATIONSHIPS EASTERN EUROPE,N/A,2693-2229,RELIGION,ESCI,0.3,N/A
Studia Historiae Oeconomicae,STUD HIST OECON,Paradigm Publishing Services-De Gruyter Brill Sp Zoo,N/A,0081-6485,Multiple,ESCI,0.3,581/626
Journal of Hindu Studies,J HINDU STUD,OXFORD UNIV PRESS,1756-4255,1756-4263,RELIGION,ESCI,0.3,N/A
Cuadernos de Historia Moderna,CUAD HIST MOD,"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES",0214-4018,1988-2475,HISTORY,ESCI,0.3,223/553
Journal of Design History,J DES HIST,OXFORD UNIV PRESS,0952-4649,1741-7279,ART,AHCI,0.3,N/A
STUDIA NEOPHILOLOGICA,STUD NEOPHILOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0039-3274,1651-2308,Multiple,AHCI,0.3,N/A
VETUS TESTAMENTUM,VETUS TESTAMENTUM,BRILL,0042-4935,N/A,RELIGION,AHCI,0.3,N/A
HARVARD JOURNAL OF ASIATIC STUDIES,HARVARD J ASIAT STUD,HARVARD-YENCHING INST,0073-0548,1944-6454,Multiple,AHCI,0.3,N/A
KANT-STUDIEN,KANT-STUD,WALTER DE GRUYTER GMBH,0022-8877,1613-1134,PHILOSOPHY,AHCI,0.3,N/A
LEARNing Landscapes,LEARN LANDSC,LEARN,1913-5688,1913-5688,EDUCATION & EDUCATIONAL RESEARCH,ESCI,0.3,655/760
Psychoanalysis and History,PSYCHOANAL HIST,EDINBURGH UNIV PRESS,1460-8235,1755-201X,Multiple,"AHCI, SSCI",0.3,223/553
Rivista di Matematica della Universita di Parma,RIV MAT UNIV PARMA,UNIV STUDI PARMA,0035-6298,N/A,MATHEMATICS,ESCI,0.3,450/492
SCOTTISH JOURNAL OF THEOLOGY,SCOT J THEOLOGY,CAMBRIDGE UNIV PRESS,0036-9306,1475-3065,RELIGION,AHCI,0.3,N/A
Culture and Religion,CULT RELIG-ABINGDON,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1475-5610,1475-5629,RELIGION,ESCI,0.3,N/A
FAMILY & COMMUNITY HISTORY,FAM COMMUNITY HIST,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1463-1180,1751-3812,HISTORY,ESCI,0.3,223/553
Journal of African Media Studies,J AFR MEDIA STUD,INTELLECT LTD,2040-199X,1751-7974,Multiple,SSCI,0.3,199/227
VIGILIAE CHRISTIANAE,VIGILIAE CHRISTIAN,BRILL,0042-6032,1570-0720,RELIGION,AHCI,0.3,N/A
Siberian Historical Research-Sibirskie Istoricheskie Issledovaniya,SIB HIST RES,TOMSK STATE UNIV,2312-461X,2312-4628,HISTORY,ESCI,0.3,223/553
Dead Sea Discoveries,DEAD SEA DISCOV,BRILL,0929-0761,1568-5179,RELIGION,AHCI,0.3,N/A
REVISTA DE LITERATURA,REV LITERATURA,CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC,0034-849X,1988-4192,"LITERATURE, ROMANCE",AHCI,0.3,N/A
Social Sciences and Missions-Sciences Sociales et Missions,SOC SCI MISSION,BRILL,1874-8937,1874-8945,RELIGION,ESCI,0.3,N/A
Bamboo and Silk,BAMBOO SILK,BRILL,2468-9238,2468-9246,ASIAN STUDIES,ESCI,0.3,N/A
Eminak,EMINAK,Scientific Research Centre Lukomorie - SRC Lukomorie,1998-4634,2708-0226,Multiple,ESCI,0.3,N/A
Journal of Quranic Studies,J QURANIC STUD,EDINBURGH UNIV PRESS,1465-3591,1755-1730,RELIGION,AHCI,0.3,N/A
South Asian Popular Culture,S ASIAN POPUL CULT,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1474-6689,1474-6697,Multiple,ESCI,0.3,N/A
Journal of Scottish Historical Studies,J SCOTT HIST STUD,EDINBURGH UNIV PRESS,1748-538X,1755-1749,HISTORY,ESCI,0.3,223/553
Journal of the British Archaeological Association,J BR ARCHAEOL ASSOC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0068-1288,1747-6704,Multiple,AHCI,0.3,N/A
Mission Studies,MISSION STUD,BRILL,0168-9789,1573-3831,RELIGION,ESCI,0.3,N/A
Musicologist,MUSICOLOGIST,Trabzon Univ State Conservatory,2618-5652,2618-5652,MUSIC,ESCI,0.3,N/A
International Journal of Christianity & Education,INT J CHRIST EDUC,SAGE PUBLICATIONS LTD,2056-9971,2056-998X,RELIGION,ESCI,0.3,N/A
METROPOLITAN MUSEUM JOURNAL,METROPOL MUSEUM J,UNIV CHICAGO PRESS,0077-8958,2169-3072,ART,AHCI,0.3,N/A
RENAISSANCE AND REFORMATION,RENAISSANCE REFORM,RENAISSANCE AND REFORMATION,0034-429X,0034-429X,MEDIEVAL & RENAISSANCE STUDIES,AHCI,0.3,N/A
Rubrica Contemporanea,RUBRICA CONTEMP,UNIV AUTONOMA BARCELONA,N/A,2014-5748,HISTORY,ESCI,0.3,223/553
Ius Humani-Revista de Derecho,IUS HUM,UNIV HEMISFERIOS,1390-440X,1390-7794,LAW,ESCI,0.3,315/443
Journal of Iberian and Latin American Studies,J IBER LAT AM STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1470-1847,1469-9524,"HUMANITIES, MULTIDISCIPLINARY",ESCI,0.3,N/A
SARE-Southeast Asian Review of English,SARE-SE ASIAN REV EN,"UNIV MALAYA, FAC ARTS & SOCIAL SCIENCES, DEPT ENGLISH",0127-046X,0127-046X,LITERATURE,ESCI,0.3,N/A
Al-Jamiah-Journal of Islamic Studies,AL-JAMIAH,SUNAN KALIJAGA STATE ISLAMIC UNIV,0126-012X,2338-557X,RELIGION,ESCI,0.3,N/A
Contemporanea,CONTEMPORANEA,SOC ED IL MULINO,1127-3070,2612-2235,HISTORY,AHCI,0.3,223/553
Epistemology & Philosophy of Science-Epistemologiya i Filosofiya Nauki,EPISTEMOL PHILOS SCI,RUSSIAN ACAD SCIENCES-INST PHILOSOPHY,1811-833X,2311-7133,PHILOSOPHY,ESCI,0.3,N/A
Estudios de Historia Novohispana,ESTUD HIST NOVOHISP,"UNIV NACIONAL AUTONOMA MEXICO-UNAM, INST INVESTIGACIONES HISTORICAS",1870-9060,2448-6922,HISTORY,ESCI,0.3,223/553
Industrial Archaeology Review,IND ARCHAEOL REV,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0309-0728,1745-8196,Multiple,AHCI,0.3,N/A
Vegueta-Anuario de la Facultad de Geografia e Historia,VEGUETA,"UNIV LAS PALMAS GRAN CANARIA, FAC GEOGRAFIA & HISTORIA",1133-598X,2341-1112,HISTORY,ESCI,0.3,223/553
Journal of Aesthetics and Phenomenology,J AESTHET PHENOMENOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2053-9320,2053-9339,PHILOSOPHY,ESCI,0.3,N/A
Journal of Ancient Near Eastern Religions,J ANC NEAR EAST RELI,BRILL,1569-2116,1569-2124,Multiple,AHCI,0.3,223/553
Journal of Historical Linguistics,J HIST LINGUIST,JOHN BENJAMINS PUBLISHING CO,2210-2116,2210-2124,LANGUAGE & LINGUISTICS,ESCI,0.3,N/A
New Blackfriars,NEW BLACKFRIARS,CAMBRIDGE UNIV PRESS,0028-4289,1741-2005,RELIGION,ESCI,0.3,N/A
HISTORICAL JOURNAL OF FILM RADIO AND TELEVISION,HIST J FILM RADIO TV,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0143-9685,1465-3451,"FILM, RADIO, TELEVISION",AHCI,0.3,N/A
BYZANTINE AND MODERN GREEK STUDIES,BYZANTINE MOD GREEK,CAMBRIDGE UNIV PRESS,0307-0131,1749-625X,"HUMANITIES, MULTIDISCIPLINARY",AHCI,0.3,N/A
Edad Media-Revista de Historia,EDAD MEDIA-REV HIST,"UNIV VALLADOLID, SECRETARIADO PUBLICACIONES",1138-9621,2530-6448,MEDIEVAL & RENAISSANCE STUDIES,ESCI,0.3,N/A
New Contree,NEW CONTREE,AOSIS PTY LTD-AOSIS OPENJOURNALS,0379-9867,0379-9867,HISTORY,ESCI,0.3,223/553
Apeiron-A Journal for Ancient Philosophy and Science,APEIRON-J ANC PHILOS,WALTER DE GRUYTER GMBH,0003-6390,2156-7093,PHILOSOPHY,ESCI,0.3,N/A
Cuadernos de Historia Contemporanea,CUAD HIST CONTEMP,"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES",0214-400X,1988-2734,HISTORY,ESCI,0.3,223/553
Ecclesiology,ECCLESIOLOGY,BRILL,1744-1366,1745-5316,RELIGION,ESCI,0.3,N/A
Horizons in Biblical Theology,HORIZ BIBLIC THEOL,BRILL,0195-9085,1871-2207,RELIGION,ESCI,0.3,N/A
Linguistic Variation,LINGUIST VAR,JOHN BENJAMINS PUBLISHING CO,2211-6834,2211-6842,LANGUAGE & LINGUISTICS,ESCI,0.3,N/A
SOUTHERN CULTURES,SOUTH CULT,UNIV NORTH CAROLINA PRESS,1068-8218,1534-1488,HISTORY,AHCI,0.3,223/553
Zeitschrift fur Sprachwissenschaft,Z SPRACHWISS,DE GRUYTER MOUTON,0721-9067,1613-3706,Multiple,AHCI,0.3,N/A
Communications in Applied Mathematics and Computational Science,COMM APP MATH COM SC,MATHEMATICAL SCIENCE PUBL,1559-3940,2157-5452,Multiple,SCIE,0.3,329/345
PHILOSOPHISCHES JAHRBUCH,PHILOS JAHRB,VERLAG KARL ALBER,0031-8183,0031-8183,PHILOSOPHY,AHCI,0.3,N/A
Studies in History,STUD HIST,SAGE PUBLICATIONS INDIA PVT LTD,0257-6430,0973-080X,HISTORY,ESCI,0.3,223/553
ACTA POLONIAE HISTORICA,ACTA POL HIST,INST HISTORY- PAN,0001-6829,0001-6829,HISTORY,AHCI,0.3,223/553
Arab Law Quarterly,ARAB LAW Q,BRILL,0268-0556,1573-0255,LAW,ESCI,0.3,315/443
Bible Translator,BIBLE TRANSL,SAGE PUBLICATIONS LTD,2051-6770,2051-6789,RELIGION,ESCI,0.3,N/A
International Review of Mission,INT REV MISSION,WILEY,0020-8582,1758-6631,RELIGION,ESCI,0.3,N/A
Journal of Islamic Manuscripts,J ISLAM MANUSCR,BRILL,1878-4631,1878-464X,"HUMANITIES, MULTIDISCIPLINARY",ESCI,0.3,N/A
Journal of Modern Jewish Studies,J MOD JEW STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1472-5886,1472-5894,"HUMANITIES, MULTIDISCIPLINARY",ESCI,0.3,N/A
JOURNAL OF THE SOCIETY OF CHRISTIAN ETHICS,J SOC CHRIST ETHICS,SOC CHRISTIAN ETHICS,1540-7942,2326-2176,RELIGION,AHCI,0.3,N/A
Manzar-The Scientific Journal of Landscape,MANZAR,NAZAR RESEARCH CENTER ART ARCHITECTURE & URBANISM,2008-7446,2008-2169,ARCHITECTURE,ESCI,0.3,N/A
SOUTH AFRICAN JOURNAL OF PHILOSOPHY,S AFR J PHILOS,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0258-0136,2073-4867,PHILOSOPHY,AHCI,0.3,N/A
Alicante Journal of English Studies-Revista Alicantina de Estudios Ingleses,ALICANTE J ENGL STUD,UNIV ALICANTE,0214-4808,2171-861X,Multiple,ESCI,0.3,49/66
JMM-International Journal on Media Management,JMM-INT J MEDIA MANA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1424-1277,1424-1250,COMMUNICATION,ESCI,0.3,199/227
CULTURAL CRITIQUE,CULT CRIT,UNIV MINNESOTA PRESS,0882-4371,1460-2458,CULTURAL STUDIES,"AHCI, SSCI",0.3,49/66
Filosofija-Sociologija,FILOS-SOCIOL,LITHUANIAN ACAD SCIENCES,0235-7186,0235-7186,Multiple,AHCI,0.3,N/A
Journal of Islamic Archaeology,J ISLAM ARCHAEOL,EQUINOX PUBLISHING LTD,2051-9710,2051-9729,ARCHAEOLOGY,ESCI,0.3,N/A
STUDIES IN AMERICAN FICTION,STUD AM FICTION,JOHNS HOPKINS UNIV PRESS,0091-8083,2158-5806,"LITERATURE, AMERICAN",AHCI,0.3,N/A
Teologia y Vida,TEOL VIDA,"PONTIFICIA UNIV CATOLICA CHILE, FACULTAD TEOLOGIA",0049-3449,0717-6295,RELIGION,AHCI,0.3,N/A
EGE-Revista de Expresion Grafica en la Edificacion,EGE-REV EXPR GRAF ED,"UNIV POLITECNICA VALENCIA, EDITORIAL UPV",1888-8143,2605-082X,ARCHITECTURE,ESCI,0.3,N/A
Historische Zeitschrift,HIST Z,WALTER DE GRUYTER GMBH,0018-2613,2196-680X,HISTORY,AHCI,0.3,223/553
Ukrainskyi Istorychnyi Zhurnal,UKR ISTORYCHNYI ZH,"NATL ACAD SCIENCES UKRAINE, INST HISTORY UKRAINE",0130-5247,1729-570X,HISTORY,ESCI,0.3,223/553
World Art,WORLD ART,TAYLOR & FRANCIS LTD,2150-0894,2150-0908,ART,ESCI,0.3,N/A
Documenta et Instrumenta,DOC INSTRUM,"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES",1697-4328,1697-3798,HISTORY,ESCI,0.3,223/553
International Journal of Islamic Architecture,INT J ISLAM ARCHIT,INTELLECT LTD,2045-5895,2045-5909,ARCHITECTURE,AHCI,0.3,N/A
Journal of Topology and Analysis,J TOPOL ANAL,WORLD SCIENTIFIC PUBL CO PTE LTD,1793-5253,1793-7167,MATHEMATICS,SCIE,0.3,450/492
Lingue e Linguaggio,LINGUE LINGUAGGIO,SOC ED IL MULINO,1720-9331,1720-9331,LANGUAGE & LINGUISTICS,ESCI,0.3,N/A
Northern Review,NORTH REV,YUKON COLL,0820-0300,0820-0300,AREA STUDIES,ESCI,0.3,141/184
Studia Phaenomenologica,STUD PHAENOMENOL,ROMANIAN SOC PHENOMENOLOGY,1582-5647,2069-0061,PHILOSOPHY,AHCI,0.3,N/A
AMERASIA JOURNAL,AMERASIA J,TAYLOR & FRANCIS INC,0044-7471,0044-7471,"HUMANITIES, MULTIDISCIPLINARY",AHCI,0.3,N/A
ANTHROPOZOOLOGICA,ANTHROPOZOOLOGICA,"PUBLICATIONS SCIENTIFIQUES DU MUSEUM, PARIS",0761-3032,2107-0881,Multiple,SSCI,0.3,118/143
Dialogues in Philosophy Mental and Neuro Sciences,DIALOGUES PHILOS MEN,ASSOC CROSSING DIALOGUES,2035-0031,2035-0031,PHILOSOPHY,ESCI,0.3,N/A
Journal of Applied Hermeneutics,J APPL HERMENEUTICS,"UNIV CALGARY, FAC NURSING",1927-4416,1927-4416,PHILOSOPHY,ESCI,0.3,N/A
SOUTHWESTERN HISTORICAL QUARTERLY,SOUTHWEST HIST QUART,TEXAS STATE HIST ASSOC,0038-478X,1558-9560,HISTORY,AHCI,0.3,223/553
Teaching Theology and Religion,TEACH THEOL RELIG,WILEY,1368-4868,1467-9647,Multiple,ESCI,0.3,655/760
TRANSLATION REVIEW,TRANSLATION REV,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0737-4836,2164-0564,Multiple,AHCI,0.3,N/A
CATHOLIC BIBLICAL QUARTERLY,CATH BIBLICAL QUART,CATHOLIC BIBLICAL ASSOC AMER,0008-7912,2163-2529,RELIGION,AHCI,0.3,N/A
Costume-The Journal of the Costume Society,COSTUME,EDINBURGH UNIV PRESS,0590-8876,1749-6306,"HUMANITIES, MULTIDISCIPLINARY",AHCI,0.3,N/A
Croatian Journal of Philosophy,CROAT J PHILOS,Inst Philosophy Zagreb Croatia,1333-1108,1847-6139,PHILOSOPHY,AHCI,0.3,N/A
EJournal of Tax Research,EJOURNAL TAX RES,"UNIV NEW SOUTH WALES, FAC LAW",1448-2398,1448-2398,LAW,ESCI,0.3,315/443
FORUM DER PSYCHOANALYSE,FORUM PSYCHOANAL,SPRINGER,0178-7667,1437-0751,"PSYCHOLOGY, PSYCHOANALYSIS",SSCI,0.3,16/24
Intersecciones en Antropologia,INTERSECCIONES ANTRO,"UNIV NACL CENTRO PROVINCIA BUENOS AIRES (UNICEN), FAC CIENCIAS SOCIALES",1850-373X,1850-373X,Multiple,SSCI,0.3,118/143
Journal of War & Culture Studies,J WAR CULT STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1752-6272,1752-6280,CULTURAL STUDIES,ESCI,0.3,49/66
Problemos,PROBLEMOS,VILNIUS UNIV PRESS,1392-1126,2424-6158,PHILOSOPHY,AHCI,0.3,N/A
WOMENS STUDIES-AN INTERDISCIPLINARY JOURNAL,WOMEN STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0049-7878,1547-7045,"HUMANITIES, MULTIDISCIPLINARY",AHCI,0.3,N/A
Bulletin Mathematique de la Societe des Sciences Mathematiques de Roumanie,B MATH SOC SCI MATH,SOC MATEMATICE ROMANIA,1220-3874,2065-0264,MATHEMATICS,SCIE,0.3,450/492
Feminist Media Histories,FEM MEDIA HIST,"UNIV CALIFORNIA PRESS, JOURNALS DIV",N/A,2373-7492,Multiple,ESCI,0.3,199/227
Innes Review,INNES REV,EDINBURGH UNIV PRESS,0020-157X,1745-5219,RELIGION,ESCI,0.3,N/A
Religion & Human Rights,RELIG HUM RIGHTS,BRILL,1871-031X,1871-0328,RELIGION,ESCI,0.3,N/A
Studia Historiae Scientiarum,STUD HIST SCI,Polska Akademia Umiejetnosci,2451-3202,2543-702X,HISTORY & PHILOSOPHY OF SCIENCE,ESCI,0.3,83/111
American Review of Canadian Studies,AM REV CAN STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0272-2011,1943-9954,AREA STUDIES,ESCI,0.3,141/184
Arab Studies Quarterly,ARAB STUD Q,PLUTO JOURNALS,0271-3519,2043-6920,AREA STUDIES,ESCI,0.3,141/184
Dixi,DIXI,UNIV COOPERATIVA COLOMBIA,0124-7255,2357-5891,LAW,ESCI,0.3,315/443
Etikk i Praksis,ETIKK PRAKSIS,"AKADEMIKA AS, AKADEMIKA FORLAG",1890-3991,1890-4009,Multiple,SSCI,0.3,72/78
Humanities-Basel,HUMANITIES-BASEL,MDPI,N/A,2076-0787,"HUMANITIES, MULTIDISCIPLINARY",ESCI,0.3,N/A
Journal of Latin American Cultural Studies,J LAT AM CULT STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1356-9325,1469-9575,CULTURAL STUDIES,"AHCI, SSCI",0.3,49/66
REVIEWS IN AMERICAN HISTORY,REV AM HIST,JOHNS HOPKINS UNIV PRESS,0048-7511,1080-6628,HISTORY,AHCI,0.3,223/553
Voprosy Yazykoznaniya,VOPR YAZYKOZNANIYA,"Russian Acad Sciences, State Acad Univ Humanities (GAUGN)",0373-658X,0373-658X,LANGUAGE & LINGUISTICS,ESCI,0.3,N/A
CENTAURUS,CENTAURUS,BREPOLS PUBL,0008-8994,1600-0498,HISTORY & PHILOSOPHY OF SCIENCE,"AHCI, SCIE, SSCI",0.3,83/111
Concrete Operators,CONCR OPERATORS,DE GRUYTER POLAND SP Z O O,2299-3282,2299-3282,MATHEMATICS,ESCI,0.3,450/492
EGA-Revista de Expresion Grafica Arquitectonica,EGA-REV EXPRES GRAF,"UNIV POLITECNICA VALENCIA, EDITORIAL UPV",1133-6137,2254-6103,ARCHITECTURE,AHCI,0.3,N/A
Honam Mathematical Journal,HONAM MATH J,HONAM MATHEMATICAL SOC,1225-293X,2288-6176,MATHEMATICS,ESCI,0.3,450/492
Journal for Eighteenth-Century Studies,J EIGHTEENTH-CENTURY,WILEY,1754-0194,1754-0208,"HUMANITIES, MULTIDISCIPLINARY",AHCI,0.3,N/A
Journal of Contemporary Archaeology,J CONTEMP ARCHAEOL,EQUINOX PUBLISHING LTD,2051-3429,2051-3437,ARCHAEOLOGY,ESCI,0.3,N/A
Linguistics of the Tibeto-Burman Area,LINGUIST TIBETO-BURM,JOHN BENJAMINS PUBLISHING CO,0731-3500,2214-5907,LANGUAGE & LINGUISTICS,ESCI,0.3,N/A
PSYCHE-ZEITSCHRIFT FUR PSYCHOANALYSE UND IHRE ANWENDUNGEN,PSYCHE-Z PSYCHOANAL,KLETT-COTTA VERLAG,0033-2623,N/A,"PSYCHOLOGY, PSYCHOANALYSIS",SSCI,0.3,16/24
